gadm_L3number,plate_number,province_upper,NUTS_level1,NUTS_level1_name,NUTS_level2,metropolitan,class_state_pre_21_22,class_private_pre_21_22,class_total_pre_21_22,class_state_ele_21_22,class_private_ele_21_22,class_total_ele_21_22,class_state_mid_21_22,class_private_mid_21_22,class_total_mid_21_22,class_state_high_21_22,class_private_high_21_22,class_total_high_21_22,state_total_class_21_22,private_total_class_21_22,total_class_21_22,class_state_pre_20_21,class_private_pre_20_21,class_total_pre_20_21,class_state_ele_20_21,class_private_ele_20_21,class_total_ele_20_21,class_state_mid_20_21,class_private_mid_20_21,class_total_mid_20_21,class_state_high_20_21,class_private_high_20_21,class_total_high_20_21,state_total_class_20_21,private_total_class_20_21,total_class_20_21,class_state_pre_19_20,class_private_pre_19_20,class_total_pre_19_20,class_state_ele_19_20,class_private_ele_19_20,class_total_ele_19_20,class_state_mid_19_20,class_private_mid_19_20,class_total_mid_19_20,class_state_high_19_20,class_private_high_19_20,class_total_high_19_20,state_total_class_19_20,private_total_class_19_20,total_class_19_20,class_state_pre_18_19,class_private_pre_18_19,class_total_pre_18_19,class_state_ele_18_19,class_private_ele_18_19,class_total_ele_18_19,class_state_mid_18_19,class_private_mid_18_19,class_total_mid_18_19,class_state_high_18_19,class_private_high_18_19,class_total_high_18_19,state_total_class_18_19,private_total_class_18_19,total_class_18_19,class_state_pre_17_18,class_private_pre_17_18,class_total_pre_17_18,class_state_ele_17_18,class_private_ele_17_18,class_total_ele_17_18,class_state_mid_17_18,class_private_mid_17_18,class_total_mid_17_18,class_state_high_17_18,class_private_high_17_18,class_total_high_17_18,state_total_class_17_18,private_total_class_17_18,total_class_17_18,class_state_pre_16_17,class_private_pre_16_17,class_total_pre_16_17,class_state_ele_16_17,class_private_ele_16_17,class_total_ele_16_17,class_state_mid_16_17,class_private_mid_16_17,class_total_mid_16_17,class_state_high_16_17,class_private_high_16_17,class_total_high_16_17,state_total_class_16_17,private_total_class_16_17,total_class_16_17,class_state_pre_15_16,class_private_pre_15_16,class_total_pre_15_16,class_state_ele_15_16,class_private_ele_15_16,class_total_ele_15_16,class_state_mid_15_16,class_private_mid_15_16,class_total_mid_15_16,class_state_high_15_16,class_private_high_15_16,class_total_high_15_16,state_total_class_15_16,private_total_class_15_16,total_class_15_16,class_state_pre_14_15,class_private_pre_14_15,class_total_pre_14_15,class_state_ele_14_15,class_private_ele_14_15,class_total_ele_14_15,class_state_mid_14_15,class_private_mid_14_15,class_total_mid_14_15,class_state_high_14_15,class_private_high_14_15,class_total_high_14_15,state_total_class_14_15,private_total_class_14_15,total_class_14_15,class_state_pre_13_14,class_private_pre_13_14,class_total_pre_13_14,class_state_ele_13_14,class_private_ele_13_14,class_total_ele_13_14,class_state_mid_13_14,class_private_mid_13_14,class_total_mid_13_14,class_state_high_13_14,class_private_high_13_14,class_total_high_13_14,state_total_class_13_14,private_total_class_13_14,total_class_13_14,state_total_class_12_13,private_total_class_12_13,total_class_12_13,state_total_class_02_03,private_total_class_02_03,total_class_02_03
1,1,ADANA,TR6,Akdeniz,TR62,1,724,673,1397,6391,569,6960,4608,687,5295,4938,1144,6082,16661,3073,19734,564,607,1171,6316,501,6817,4482,737,5219,4877,1098,5975,16239,2943,19182,581,653,1234,6143,540,6683,4421,653,5074,4436,1171,5607,15581,3017,18598,590,582,1172,5956,518,6474,4178,615,4793,4385,1328,5713,15109,3043,18152,525,588,1113,5968,429,6397,4007,647,4654,4300,1231,5531,14800,2895,17695,466,506,972,5848,339,6187,3872,439,4311,3884,1102,4986,14070,2386,16456,342,273,615,5873,508,6381,3601,443,4044,3578,1184,4762,13394,2408,15802,321,90,411,5561,344,5905,3370,156,3526,3308,631,3939,12560,1221,13781,258,163,421,5789,352,6141,2946,275,3221,3320,664,3984,12313,1454,13767,8193,563,8756,1892,603,2495
2,2,ADIYAMAN,TRC,Guneydogu Anadolu,TRC1,0,216,161,377,2234,91,2325,2135,83,2218,1710,222,1932,6295,557,6852,174,115,289,2252,60,2312,2144,69,2213,1701,259,1960,6271,503,6774,172,142,314,2285,49,2334,2186,71,2257,1702,230,1932,6345,492,6837,154,96,250,2120,70,2190,2106,51,2157,1636,203,1839,6016,420,6436,166,97,263,1978,66,2044,1920,50,1970,1605,152,1757,5669,365,6034,154,97,251,1981,46,2027,1831,42,1873,1434,155,1589,5400,340,5740,137,50,187,1864,57,1921,1743,0,1743,1368,143,1511,5112,250,5362,126,39,165,1816,35,1851,1750,0,1750,1267,89,1356,4959,163,5122,116,27,143,2057,8,2065,1268,28,1296,1081,81,1162,4522,144,4666,3438,55,3493,529,32,561
3,3,AFYONKARAHISAR,TR3,Ege,TR33,0,225,174,399,3016,88,3104,2084,112,2196,1884,278,2162,7209,652,7861,195,143,338,3043,93,3136,2125,144,2269,1898,241,2139,7261,621,7882,199,157,356,3077,88,3165,2239,109,2348,1897,276,2173,7412,630,8042,205,145,350,3062,79,3141,2197,107,2304,1838,348,2186,7302,679,7981,182,130,312,3040,81,3121,2248,92,2340,1753,357,2110,7223,660,7883,187,132,319,3027,53,3080,2171,80,2251,1703,246,1949,7088,511,7599,123,62,185,3073,123,3196,1889,146,2035,1615,242,1857,6700,573,7273,92,27,119,2988,70,3058,1655,61,1716,1511,114,1625,6246,272,6518,89,52,141,3053,47,3100,1376,47,1423,1401,64,1465,5919,210,6129,4438,136,4574,969,26,995
4,4,AGRI,TRA,Kuzeydogu Anadolu,TRA2,0,151,27,178,3552,45,3597,1886,40,1926,1303,93,1396,6892,205,7097,135,21,156,3419,63,3482,1748,35,1783,1314,83,1397,6616,202,6818,115,20,135,3428,68,3496,1705,43,1748,1271,104,1375,6519,235,6754,114,10,124,3324,54,3378,1625,19,1644,1207,125,1332,6270,208,6478,115,11,126,3197,39,3236,1704,9,1713,1213,126,1339,6229,185,6414,122,8,130,3313,39,3352,1643,9,1652,1047,91,1138,6125,147,6272,111,6,117,3044,53,3097,1433,27,1460,931,90,1021,5519,176,5695,106,0,106,2776,47,2823,1218,21,1239,830,12,842,4930,80,5010,78,0,78,3034,36,3070,912,12,924,691,0,691,4715,48,4763,3704,28,3732,309,0,309
5,68,AKSARAY,TR7,Orta Anadolu,TR71,0,184,100,284,1613,98,1711,1367,51,1418,993,217,1210,4157,466,4623,164,79,243,1621,116,1737,1383,65,1448,971,222,1193,4139,482,4621,172,87,259,1634,157,1791,1371,49,1420,928,209,1137,4105,502,4607,157,91,248,1546,103,1649,1367,78,1445,931,194,1125,4001,466,4467,163,84,247,1609,107,1716,1339,41,1380,941,154,1095,4052,386,4438,141,64,205,1617,101,1718,1323,18,1341,869,163,1032,3950,346,4296,84,21,105,1595,87,1682,1188,51,1239,735,203,938,3602,362,3964,72,16,88,1633,73,1706,1162,47,1209,757,60,817,3624,196,3820,62,20,82,1517,36,1553,1163,41,1204,694,77,771,3436,174,3610,2753,97,2850,482,19,501
6,5,AMASYA,TR8,Bati Karadeniz,TR83,0,143,71,214,1068,106,1174,986,88,1074,986,121,1107,3183,386,3569,147,67,214,1066,93,1159,1001,83,1084,989,129,1118,3203,372,3575,146,82,228,1066,122,1188,992,92,1084,986,168,1154,3190,464,3654,124,84,208,991,73,1064,1023,73,1096,966,186,1152,3104,416,3520,131,72,203,1016,48,1064,1009,96,1105,886,128,1014,3042,344,3386,127,55,182,1057,26,1083,979,53,1032,879,117,996,3042,251,3293,80,42,122,1089,52,1141,908,78,986,826,146,972,2903,318,3221,71,14,85,1056,59,1115,866,41,907,841,45,886,2834,159,2993,65,19,84,1066,62,1128,859,42,901,784,36,820,2774,159,2933,1978,74,2052,531,25,556
7,6,ANKARA,TR5,Bati Anadolu,TR51,1,1784,3459,5243,12914,3804,16718,10287,3711,13998,10939,5908,16847,35924,16882,52806,1292,3004,4296,11649,4095,15744,9423,4040,13463,10693,6133,16826,33057,17272,50329,1481,3151,4632,10600,3855,14455,8880,4010,12890,9908,6296,16204,30869,17312,48181,1299,2842,4141,9928,3437,13365,8190,3520,11710,9427,6272,15699,28844,16071,44915,1187,2862,4049,10110,3043,13153,8503,2974,11477,9022,5397,14419,28822,14276,43098,1015,2648,3663,10156,2713,12869,8508,2461,10969,8764,4746,13510,28443,12568,41011,631,1398,2029,9926,2565,12491,7784,2263,10047,8316,5196,13512,26657,11422,38079,690,1834,2524,9478,2289,11767,7311,1559,8870,7548,2266,9814,25027,7948,32975,526,1502,2028,9892,1950,11842,6777,1457,8234,7374,1826,9200,24569,6735,31304,16907,4530,21437,4850,1639,6489
8,7,ANTALYA,TR6,Akdeniz,TR61,1,842,1493,2335,7348,1325,8673,3818,1270,5088,4950,1796,6746,16958,5884,22842,677,1416,2093,7265,1330,8595,3765,1342,5107,4929,1842,6771,16636,5930,22566,767,1521,2288,7190,1276,8466,3809,1399,5208,4933,1907,6840,16699,6103,22802,728,1430,2158,7091,1109,8200,3642,1236,4878,4759,1886,6645,16220,5661,21881,718,1366,2084,7078,966,8044,3615,1107,4722,4608,1500,6108,16019,4939,20958,607,1225,1832,7050,807,7857,3695,835,4530,4227,1371,5598,15579,4238,19817,422,779,1201,6866,890,7756,3631,708,4339,3872,1489,5361,14791,3866,18657,313,669,982,7066,659,7725,3053,532,3585,3690,703,4393,14122,2563,16685,228,573,801,6858,540,7398,2565,539,3104,3471,524,3995,13122,2176,15298,9508,1519,11027,1767,514,2281
9,75,ARDAHAN,TRA,Kuzeydogu Anadolu,TRA2,0,36,7,43,396,0,396,386,0,386,371,0,371,1189,7,1196,32,4,36,413,0,413,396,0,396,384,0,384,1225,4,1229,28,4,32,394,0,394,385,0,385,388,0,388,1195,4,1199,22,4,26,375,0,375,379,0,379,388,0,388,1164,4,1168,28,4,32,408,0,408,382,0,382,343,0,343,1161,4,1165,25,4,29,454,0,454,410,0,410,424,0,424,1313,4,1317,21,3,24,443,18,461,401,0,401,393,0,393,1258,21,1279,19,3,22,522,18,540,374,0,374,245,0,245,1160,21,1181,19,3,22,484,8,492,353,0,353,302,0,302,1158,11,1169,977,3,980,130,0,130
10,8,ARTVIN,TR9,Dogu Karadeniz,TR90,0,83,19,102,583,0,583,339,0,339,578,15,593,1583,34,1617,75,17,92,590,0,590,348,0,348,566,15,581,1579,32,1611,79,17,96,611,0,611,364,0,364,517,15,532,1571,32,1603,71,16,87,657,0,657,366,0,366,504,23,527,1598,39,1637,65,16,81,656,0,656,362,0,362,484,20,504,1567,36,1603,61,10,71,682,0,682,319,0,319,542,0,542,1604,10,1614,41,4,45,705,16,721,371,15,386,533,14,547,1650,49,1699,40,3,43,747,16,763,347,0,347,551,0,551,1685,19,1704,35,4,39,748,8,756,291,7,298,540,0,540,1614,19,1633,1126,19,1145,307,3,310
