gadm_L3number,plate_number,province_upper,NUTS_level1,NUTS_level1_name,NUTS_level2,metropolitan,TYT_placement_YKS2021,SOZ_placement_YKS2021,SAY_placement_YKS2021,EA_placement_YKS2021,DIL_placement_YKS2021,average_YKS2021
1,1,ADANA,TR6,Akdeniz,TR62,1,1187382,477985,439281,595083,43984,548743
2,2,ADIYAMAN,TRC,Guneydogu Anadolu,TRC1,0,1162513,462532,445647,602124,56637,545891
3,3,AFYONKARAHISAR,TR3,Ege,TR33,0,1211533,464548,472094,615330,47498,562201
4,4,AGRI,TRA,Kuzeydogu Anadolu,TRA2,0,1262509,442405,486884,636289,61805,577978
5,68,AKSARAY,TR7,Orta Anadolu,TR71,0,1122835,444724,448294,591855,48645,531271
6,5,AMASYA,TR8,Bati Karadeniz,TR83,0,1187228,455413,447415,589568,47066,545338
7,6,ANKARA,TR5,Bati Anadolu,TR51,1,1118424,450687,428539,567409,38124,520637
8,7,ANTALYA,TR6,Akdeniz,TR61,1,1163527,481351,449740,612836,42447,549980
9,75,ARDAHAN,TRA,Kuzeydogu Anadolu,TRA2,0,1358283,478867,512616,675634,57707,616621
10,8,ARTVIN,TR9,Dogu Karadeniz,TR90,0,1355993,510092,504840,683919,54539,621877
11,9,AYDIN,TR3,Ege,TR32,1,1165530,473748,447288,605797,44225,547318
12,10,BALIKESIR,TR2,Bati Marmara,TR22,1,1179669,474230,452477,615322,42231,552786
13,74,BARTIN,TR8,Bati Karadeniz,TR81,0,1218828,449342,454123,602479,43355,553625
14,72,BATMAN,TRC,Guneydogu Anadolu,TRC3,0,1253244,468834,460231,623349,54409,572013
15,69,BAYBURT,TRA,Kuzeydogu Anadolu,TRA1,0,1220401,465526,489791,636712,55950,573676
16,11,BILECIK,TR4,Dogu Marmara,TR41,0,1181352,463617,467535,619535,39840,554376
17,12,BINGOL,TRB,Ortadogu Anadolu,TRB1,0,1219278,449481,460865,602213,56984,557764
18,13,BITLIS,TRB,Ortadogu Anadolu,TRB2,0,1264102,444632,472361,619698,59948,572148
19,14,BOLU,TR4,Dogu Marmara,TR42,0,1178273,469765,460020,621351,40874,554057
20,15,BURDUR,TR6,Akdeniz,TR61,0,1142648,467075,450099,598695,45474,540798
21,16,BURSA,TR4,Dogu Marmara,TR41,1,1118890,460167,439835,590739,40053,529937
22,17,CANAKKALE,TR2,Bati Marmara,TR22,0,1188515,486802,453704,623914,42183,559024
23,18,CANKIRI,TR8,Bati Karadeniz,TR82,0,1250882,476211,480078,635126,42923,577044
24,19,CORUM,TR8,Bati Karadeniz,TR83,0,1160943,467482,457438,612422,49586,549574
25,20,DENIZLI,TR3,Ege,TR32,1,1100120,459118,442634,588793,44040,526941
26,21,DIYARBAKIR,TRC,Guneydogu Anadolu,TRC2,1,1230058,474821,455128,616297,52481,565757
27,81,DUZCE,TR4,Dogu Marmara,TR42,0,1253960,470813,475038,644469,44807,577817
28,22,EDIRNE,TR2,Bati Marmara,TR21,0,1210839,474183,461167,622907,42458,562311
29,23,ELAZIG,TRB,Ortadogu Anadolu,TRB1,0,1176651,461745,455764,602148,52149,549691
30,24,ERZINCAN,TRA,Kuzeydogu Anadolu,TRA1,0,1209132,445164,453707,583296,46940,547648
31,25,ERZURUM,TRA,Kuzeydogu Anadolu,TRA1,1,1188412,449043,459217,596443,52150,549053
32,26,ESKISEHIR,TR4,Dogu Marmara,TR41,1,1094283,451396,435813,587976,39200,521734
33,27,GAZIANTEP,TRC,Guneydogu Anadolu,TRC1,1,1229086,480779,468589,622512,49857,570165
