gadm_L3number,plate_number,province_upper,NUTS_level1,NUTS_level1_name,NUTS_level2,metropolitan,teacher_s_pre_m_21_22,teacher_s_pre_f_21_22,teacher_s_pre_total_21_22,teacher_p_pre_m_21_22,teacher_p_pre_f_21_22,teacher_p_pre_total_21_22,teacher_pre_total_21_22,teacher_s_pre_m_20_21,teacher_s_pre_f_20_21,teacher_s_pre_total_20_21,teacher_p_pre_m_20_21,teacher_p_pre_f_20_21,teacher_p_pre_total_20_21,teacher_pre_total_20_21,teacher_s_pre_m_19_20,teacher_s_pre_f_19_20,teacher_s_pre_total_19_20,teacher_p_pre_m_19_20,teacher_p_pre_f_19_20,teacher_p_pre_total_19_20,teacher_pre_total_19_20,teacher_s_pre_m_18_19,teacher_s_pre_f_18_19,teacher_s_pre_total_18_19,teacher_p_pre_m_18_19,teacher_p_pre_f_18_19,teacher_p_pre_total_18_19,teacher_pre_total_18_19,teacher_s_pre_m_17_18,teacher_s_pre_f_17_18,teacher_s_pre_total_17_18,teacher_p_pre_m_17_18,teacher_p_pre_f_17_18,teacher_p_pre_total_17_18,teacher_pre_total_17_18,teacher_s_pre_m_16_17,teacher_s_pre_f_16_17,teacher_s_pre_total_16_17,teacher_p_pre_m_16_17,teacher_p_pre_f_16_17,teacher_p_pre_total_16_17,teacher_pre_total_16_17,teacher_s_pre_m_15_16,teacher_s_pre_f_15_16,teacher_s_pre_total_15_16,teacher_p_pre_m_15_16,teacher_p_pre_f_15_16,teacher_p_pre_total_15_16,teacher_pre_total_15_16,teacher_s_pre_m_14_15,teacher_s_pre_f_14_15,teacher_s_pre_total_14_15,teacher_p_pre_m_14_15,teacher_p_pre_f_14_15,teacher_p_pre_total_14_15,teacher_pre_total_14_15,teacher_s_pre_m_13_14,teacher_s_pre_f_13_14,teacher_s_pre_total_13_14,teacher_p_pre_m_13_14,teacher_p_pre_f_13_14,teacher_p_pre_total_13_14,teacher_pre_total_13_14,teacher_s_pre_m_12_13,teacher_s_pre_f_12_13,teacher_s_pre_total_12_13,teacher_p_pre_m_12_13,teacher_p_pre_f_12_13,teacher_p_pre_total_12_13,teacher_pre_total_12_13,teacher_s_ele_m_21_22,teacher_s_ele_f_21_22,teacher_s_ele_total_21_22,teacher_p_ele_m_21_22,teacher_p_ele_f_21_22,teacher_p_ele_total_21_22,teacher_ele_total_21_22,teacher_s_ele_m_20_21,teacher_s_ele_f_20_21,teacher_s_ele_total_20_21,teacher_p_ele_m_20_21,teacher_p_ele_f_20_21,teacher_p_ele_total_20_21,teacher_ele_total_20_21,teacher_s_ele_m_19_20,teacher_s_ele_f_19_20,teacher_s_ele_total_19_20,teacher_p_ele_m_19_20,teacher_p_ele_f_19_20,teacher_p_ele_total_19_20,teacher_ele_total_19_20,teacher_s_ele_m_18_19,teacher_s_ele_f_18_19,teacher_s_ele_total_18_19,teacher_p_ele_m_18_19,teacher_p_ele_f_18_19,teacher_p_ele_total_18_19,teacher_ele_total_18_19,teacher_s_ele_m_17_18,teacher_s_ele_f_17_18,teacher_s_ele_total_17_18,teacher_p_ele_m_17_18,teacher_p_ele_f_17_18,teacher_p_ele_total_17_18,teacher_ele_total_17_18,teacher_s_ele_m_16_17,teacher_s_ele_f_16_17,teacher_s_ele_total_16_17,teacher_p_ele_m_16_17,teacher_p_ele_f_16_17,teacher_p_ele_total_16_17,teacher_ele_total_16_17,teacher_s_ele_m_15_16,teacher_s_ele_f_15_16,teacher_s_ele_total_15_16,teacher_p_ele_m_15_16,teacher_p_ele_f_15_16,teacher_p_ele_total_15_16,teacher_ele_total_15_16,teacher_s_ele_m_14_15,teacher_s_ele_f_14_15,teacher_s_ele_total_14_15,teacher_p_ele_m_14_15,teacher_p_ele_f_14_15,teacher_p_ele_total_14_15,teacher_ele_total_14_15,teacher_s_ele_m_13_14,teacher_s_ele_f_13_14,teacher_s_ele_total_13_14,teacher_p_ele_m_13_14,teacher_p_ele_f_13_14,teacher_p_ele_total_13_14,teacher_ele_total_13_14,teacher_s_ele_m_12_13,teacher_s_ele_f_12_13,teacher_s_ele_total_12_13,teacher_p_ele_m_12_13,teacher_p_ele_f_12_13,teacher_p_ele_total_12_13,teacher_ele_total_12_13,teacher_s_mid_m_21_22,teacher_s_mid_f_21_22,teacher_s_mid_total_21_22,teacher_p_mid_m_21_22,teacher_p_mid_f_21_22,teacher_p_mid_total_21_22,teacher_mid_total_21_22,teacher_s_mid_m_20_21,teacher_s_mid_f_20_21,teacher_s_mid_total_20_21,teacher_p_mid_m_20_21,teacher_p_mid_f_20_21,teacher_p_mid_total_20_21,teacher_mid_total_20_21,teacher_s_mid_m_19_20,teacher_s_mid_f_19_20,teacher_s_mid_total_19_20,teacher_p_mid_m_19_20,teacher_p_mid_f_19_20,teacher_p_mid_total_19_20,teacher_mid_total_19_20,teacher_s_mid_m_18_19,teacher_s_mid_f_18_19,teacher_s_mid_total_18_19,teacher_p_mid_m_18_19,teacher_p_mid_f_18_19,teacher_p_mid_total_18_19,teacher_mid_total_18_19,teacher_s_mid_m_17_18,teacher_s_mid_f_17_18,teacher_s_mid_total_17_18,teacher_p_mid_m_17_18,teacher_p_mid_f_17_18,teacher_p_mid_total_17_18,teacher_mid_total_17_18,teacher_s_mid_m_16_17,teacher_s_mid_f_16_17,teacher_s_mid_total_16_17,teacher_p_mid_m_16_17,teacher_p_mid_f_16_17,teacher_p_mid_total_16_17,teacher_mid_total_16_17,teacher_s_mid_m_15_16,teacher_s_mid_f_15_16,teacher_s_mid_total_15_16,teacher_p_mid_m_15_16,teacher_p_mid_f_15_16,teacher_p_mid_total_15_16,teacher_mid_total_15_16,teacher_s_mid_m_14_15,teacher_s_mid_f_14_15,teacher_s_mid_total_14_15,teacher_p_mid_m_14_15,teacher_p_mid_f_14_15,teacher_p_mid_total_14_15,teacher_mid_total_14_15,teacher_s_mid_m_13_14,teacher_s_mid_f_13_14,teacher_s_mid_total_13_14,teacher_p_mid_m_13_14,teacher_p_mid_f_13_14,teacher_p_mid_total_13_14,teacher_mid_total_13_14,teacher_s_mid_m_12_13,teacher_s_mid_f_12_13,teacher_s_mid_total_12_13,teacher_p_mid_m_12_13,teacher_p_mid_f_12_13,teacher_p_mid_total_12_13,teacher_mid_total_12_13,teacher_s_high_m_21_22,teacher_s_high_f_21_22,teacher_s_high_total_21_22,teacher_p_high_m_21_22,teacher_p_high_f_21_22,teacher_p_high_total_21_22,teacher_high_total_21_22,teacher_s_high_m_20_21,teacher_s_high_f_20_21,teacher_s_high_total_20_21,teacher_p_high_m_20_21,teacher_p_high_f_20_21,teacher_p_high_total_20_21,teacher_high_total_20_21,teacher_s_high_m_19_20,teacher_s_high_f_19_20,teacher_s_high_total_19_20,teacher_p_high_m_19_20,teacher_p_high_f_19_20,teacher_p_high_total_19_20,teacher_high_total_19_20,teacher_s_high_m_18_19,teacher_s_high_f_18_19,teacher_s_high_total_18_19,teacher_p_high_m_18_19,teacher_p_high_f_18_19,teacher_p_high_total_18_19,teacher_high_total_18_19,teacher_s_high_m_17_18,teacher_s_high_f_17_18,teacher_s_high_total_17_18,teacher_p_high_m_17_18,teacher_p_high_f_17_18,teacher_p_high_total_17_18,teacher_high_total_17_18,teacher_s_high_m_16_17,teacher_s_high_f_16_17,teacher_s_high_total_16_17,teacher_p_high_m_16_17,teacher_p_high_f_16_17,teacher_p_high_total_16_17,teacher_high_total_16_17,teacher_s_high_m_15_16,teacher_s_high_f_15_16,teacher_s_high_total_15_16,teacher_p_high_m_15_16,teacher_p_high_f_15_16,teacher_p_high_total_15_16,teacher_high_total_15_16,teacher_s_high_m_14_15,teacher_s_high_f_14_15,teacher_s_high_total_14_15,teacher_p_high_m_14_15,teacher_p_high_f_14_15,teacher_p_high_total_14_15,teacher_high_total_14_15,teacher_s_high_m_13_14,teacher_s_high_f_13_14,teacher_s_high_total_13_14,teacher_p_high_m_13_14,teacher_p_high_f_13_14,teacher_p_high_total_13_14,teacher_high_total_13_14,teacher_s_high_m_12_13,teacher_s_high_f_12_13,teacher_s_high_total_12_13,teacher_p_high_m_12_13,teacher_p_high_f_12_13,teacher_p_high_total_12_13,teacher_high_total_12_13,teacher_s_all_m_21_22,teacher_s_all_f_21_22,teacher_s_all_total_21_22,teacher_p_all_m_21_22,teacher_p_all_f_21_22,teacher_p_all_total_21_22,teacher_all_total_21_22,teacher_s_all_m_20_21,teacher_s_all_f_20_21,teacher_s_all_total_20_21,teacher_p_all_m_20_21,teacher_p_all_f_20_21,teacher_p_all_total_20_21,teacher_all_total_20_21,teacher_s_all_m_19_20,teacher_s_all_f_19_20,teacher_s_all_total_19_20,teacher_p_all_m_19_20,teacher_p_all_f_19_20,teacher_p_all_total_19_20,teacher_all_total_19_20,teacher_s_all_m_18_19,teacher_s_all_f_18_19,teacher_s_all_total_18_19,teacher_p_all_m_18_19,teacher_p_all_f_18_19,teacher_p_all_total_18_19,teacher_all_total_18_19,teacher_s_all_m_17_18,teacher_s_all_f_17_18,teacher_s_all_total_17_18,teacher_p_all_m_17_18,teacher_p_all_f_17_18,teacher_p_all_total_17_18,teacher_all_total_17_18,teacher_s_all_m_16_17,teacher_s_all_f_16_17,teacher_s_all_total_16_17,teacher_p_all_m_16_17,teacher_p_all_f_16_17,teacher_p_all_total_16_17,teacher_all_total_16_17,teacher_s_all_m_15_16,teacher_s_all_f_15_16,teacher_s_all_total_15_16,teacher_p_all_m_15_16,teacher_p_all_f_15_16,teacher_p_all_total_15_16,teacher_all_total_15_16,teacher_s_all_m_14_15,teacher_s_all_f_14_15,teacher_s_all_total_14_15,teacher_p_all_m_14_15,teacher_p_all_f_14_15,teacher_p_all_total_14_15,teacher_all_total_14_15,teacher_s_all_m_13_14,teacher_s_all_f_13_14,teacher_s_all_total_13_14,teacher_p_all_m_13_14,teacher_p_all_f_13_14,teacher_p_all_total_13_14,teacher_all_total_13_14,teacher_s_all_m_12_13,teacher_s_all_f_12_13,teacher_s_all_total_12_13,teacher_p_all_m_12_13,teacher_p_all_f_12_13,teacher_p_all_total_12_13,teacher_all_total_12_13
1,1,ADANA,TR6,Akdeniz,TR62,1,137,1152,1289,13,478,491,1780,128,905,1033,10,463,473,1506,121,904,1025,9,569,578,1603,102,941,1043,10,558,568,1611,69,754,823,9,507,516,1339,72,685,757,6,447,453,1210,59,556,615,2,331,333,948,57,493,550,8,125,133,683,51,373,424,2,243,245,669,56,323,379,4,251,255,634,3004,5226,8230,68,539,607,8837,2972,5094,8066,57,531,588,8654,3039,5111,8150,61,538,599,8749,2786,5042,7828,57,559,616,8444,3083,5090,8173,64,493,557,8730,3153,5155,8308,43,354,397,8705,3327,5153,8480,70,442,512,8992,3296,5069,8365,77,325,402,8767,3213,4980,8193,83,343,426,8619,2976,4440,7416,67,336,403,7819,3944,5337,9281,214,513,727,10008,3836,5145,8981,226,554,780,9761,3945,5214,9159,260,641,901,10060,3698,5050,8748,273,677,950,9698,3878,5008,8886,275,639,914,9800,3915,5001,8916,220,452,672,9588,3700,4442,8142,177,374,551,8693,3431,4031,7462,148,298,446,7908,3397,3981,7378,128,256,384,7762,3414,3903,7317,122,230,352,7669,4461,4334,8795,538,870,1408,10203,4274,4145,8419,651,875,1526,9945,4114,3898,8012,677,888,1565,9577,4069,3884,7953,903,1134,2037,9990,4001,3826,7827,814,1033,1847,9674,3999,3712,7711,676,825,1501,9212,4073,3552,7625,803,784,1587,9212,4054,3418,7472,471,520,991,8463,3972,3135,7107,350,523,873,7980,3785,2835,6620,290,352,642,7262,11546,16049,27595,833,2400,3233,30828,11210,15289,26499,944,2423,3367,29866,11219,15127,26346,1007,2636,3643,29989,10655,14917,25572,1243,2928,4171,29743,11031,14678,25709,1162,2672,3834,29543,11139,14553,25692,945,2078,3023,28715,11159,13703,24862,1052,1931,2983,27845,10838,13011,23849,704,1268,1972,25821,10633,12469,23102,563,1365,1928,25030,10231,11501,21732,483,1169,1652,23384
2,2,ADIYAMAN,TRC,Guneydogu Anadolu,TRC1,0,76,345,421,7,119,126,547,74,298,372,7,72,79,451,70,297,367,4,106,110,477,64,281,345,0,68,68,413,57,259,316,3,83,86,402,56,220,276,3,90,93,369,40,189,229,0,48,48,277,37,171,208,2,51,53,261,30,153,183,1,37,38,221,37,154,191,0,26,26,217,1621,1241,2862,26,50,76,2938,1652,1263,2915,20,39,59,2974,1689,1245,2934,20,32,52,2986,1713,1187,2900,21,32,53,2953,1749,1122,2871,21,27,48,2919,1766,1124,2890,12,19,31,2921,1791,1132,2923,18,22,40,2963,1812,1183,2995,12,18,30,3025,1676,1124,2800,11,18,29,2829,1631,1146,2777,10,20,30,2807,2222,1667,3889,75,82,157,4046,2252,1699,3951,69,65,134,4085,2254,1703,3957,79,69,148,4105,2182,1573,3755,59,45,104,3859,2041,1402,3443,38,44,82,3525,2017,1359,3376,31,33,64,3440,1906,1171,3077,30,16,46,3123,1867,1133,3000,27,21,48,3048,1878,1065,2943,34,18,52,2995,2020,1123,3143,28,16,44,3187,2199,1120,3319,199,140,339,3658,2161,1057,3218,185,142,327,3545,2130,1058,3188,225,131,356,3544,2107,1030,3137,213,127,340,3477,1978,947,2925,170,105,275,3200,1975,942,2917,138,88,226,3143,1854,825,2679,190,61,251,2930,1804,779,2583,79,45,124,2707,1646,653,2299,81,37,118,2417,1565,606,2171,61,10,71,2242,6118,4373,10491,307,391,698,11189,6139,4317,10456,281,318,599,11055,6143,4303,10446,328,338,666,11112,6066,4071,10137,293,272,565,10702,5825,3730,9555,232,259,491,10046,5814,3645,9459,184,230,414,9873,5591,3317,8908,238,147,385,9293,5520,3266,8786,120,135,255,9041,5230,2995,8225,127,110,237,8462,5253,3029,8282,99,72,171,8453
3,3,AFYONKARAHISAR,TR3,Ege,TR33,0,26,316,342,4,98,102,444,22,255,277,5,101,106,383,17,234,251,8,118,126,377,15,247,262,7,100,107,369,18,220,238,5,89,94,332,14,215,229,3,79,82,311,10,143,153,1,66,67,220,8,113,121,3,46,49,170,5,97,102,6,47,53,155,5,89,94,2,33,35,129,1290,1548,2838,25,88,113,2951,1346,1547,2893,28,80,108,3001,1368,1544,2912,30,76,106,3018,1218,1499,2717,33,84,117,2834,1400,1505,2905,23,80,103,3008,1422,1492,2914,28,58,86,3000,1513,1484,2997,35,87,122,3119,1484,1413,2897,25,75,100,2997,1415,1364,2779,24,50,74,2853,1338,1306,2644,36,64,100,2744,1695,1831,3526,47,89,136,3662,1717,1836,3553,47,94,141,3694,1653,1686,3339,56,100,156,3495,1558,1655,3213,57,100,157,3370,1636,1661,3297,48,101,149,3446,1638,1637,3275,43,69,112,3387,1573,1459,3032,82,106,188,3220,1464,1343,2807,49,51,100,2907,1459,1350,2809,40,36,76,2885,1421,1211,2632,36,38,74,2706,1650,1437,3087,83,171,254,3341,1650,1411,3061,138,195,333,3394,1597,1333,2930,153,183,336,3266,1553,1269,2822,168,225,393,3215,1588,1239,2827,153,214,367,3194,1597,1262,2859,82,101,183,3042,1551,1118,2669,146,141,287,2956,1463,1007,2470,108,111,219,2689,1502,1042,2544,74,67,141,2685,1467,879,2346,41,31,72,2418,4661,5132,9793,159,446,605,10398,4735,5049,9784,218,470,688,10472,4635,4797,9432,247,477,724,10156,4344,4670,9014,265,509,774,9788,4642,4625,9267,229,484,713,9980,4671,4606,9277,156,307,463,9740,4647,4204,8851,264,400,664,9515,4419,3876,8295,185,283,468,8763,4381,3853,8234,144,200,344,8578,4231,3485,7716,115,166,281,7997
4,4,AGRI,TRA,Kuzeydogu Anadolu,TRA2,0,44,141,185,1,25,26,211,38,119,157,2,16,18,175,32,103,135,3,18,21,156,34,98,132,0,15,15,147,38,86,124,0,11,11,135,36,97,133,0,13,13,146,33,92,125,0,8,8,133,32,96,128,0,0,0,128,22,78,100,0,0,0,100,21,75,96,0,0,0,96,1040,1937,2977,3,26,29,3006,1067,1974,3041,6,22,28,3069,1109,1990,3099,14,36,50,3149,1106,1917,3023,18,33,51,3074,1058,1596,2654,4,11,15,2669,1058,1631,2689,7,14,21,2710,1153,1718,2871,14,31,45,2916,1148,1437,2585,17,26,43,2628,1227,1191,2418,17,29,46,2464,1388,1413,2801,26,9,35,2836,1683,2040,3723,14,33,47,3770,1705,2075,3780,11,32,43,3823,1688,2030,3718,37,43,80,3798,1629,1862,3491,16,28,44,3535,1368,1536,2904,6,10,16,2920,1194,1299,2493,9,14,23,2516,1607,1848,3455,25,23,48,3503,1404,1513,2917,21,22,43,2960,1126,1106,2232,19,13,32,2264,1071,1034,2105,30,6,36,2141,1001,1030,2031,45,38,83,2114,975,912,1887,46,49,95,1982,999,949,1948,76,63,139,2087,1013,902,1915,76,47,123,2038,901,730,1631,58,44,102,1733,869,644,1513,46,29,75,1588,938,973,1911,79,23,102,2013,826,781,1607,9,0,9,1616,651,492,1143,0,0,0,1143,569,371,940,0,0,0,940,3768,5148,8916,63,122,185,9101,3785,5080,8865,65,119,184,9049,3828,5072,8900,130,160,290,9190,3782,4779,8561,110,123,233,8794,3365,3948,7313,68,76,144,7457,3157,3671,6828,62,70,132,6960,3731,4631,8362,118,85,203,8565,3410,3827,7237,47,48,95,7332,3026,2867,5893,36,42,78,5971,3049,2893,5942,56,15,71,6013
5,68,AKSARAY,TR7,Orta Anadolu,TR71,0,29,258,287,4,85,89,376,27,229,256,1,52,53,309,21,227,248,4,54,58,306,21,208,229,1,67,68,297,21,198,219,0,65,65,284,18,159,177,0,41,41,218,11,97,108,0,43,43,151,10,84,94,2,32,34,128,5,71,76,2,26,28,104,6,73,79,2,27,29,108,770,900,1670,22,46,68,1738,779,909,1688,19,41,60,1748,754,846,1600,17,45,62,1662,791,854,1645,20,43,63,1708,789,859,1648,11,40,51,1699,800,870,1670,11,30,41,1711,833,905,1738,23,43,66,1804,817,865,1682,22,33,55,1737,799,865,1664,17,27,44,1708,755,873,1628,15,26,41,1669,1010,1155,2165,35,72,107,2272,1034,1152,2186,34,60,94,2280,974,1003,1977,46,69,115,2092,967,976,1943,38,65,103,2046,930,907,1837,29,50,79,1916,934,921,1855,24,40,64,1919,919,836,1755,40,42,82,1837,865,778,1643,44,32,76,1719,891,764,1655,30,20,50,1705,967,756,1723,28,21,49,1772,965,746,1711,110,134,244,1955,958,737,1695,142,115,257,1952,886,628,1514,132,166,298,1812,886,631,1517,149,142,291,1808,848,574,1422,111,110,221,1643,860,594,1454,110,75,185,1639,849,502,1351,123,84,207,1558,841,464,1305,68,33,101,1406,827,445,1272,37,30,67,1339,801,403,1204,24,10,34,1238,2774,3059,5833,171,337,508,6341,2798,3027,5825,196,268,464,6289,2635,2704,5339,199,334,533,5872,2665,2669,5334,208,317,525,5859,2588,2538,5126,151,265,416,5542,2612,2544,5156,145,186,331,5487,2612,2340,4952,186,212,398,5350,2533,2191,4724,136,130,266,4990,2522,2145,4667,86,103,189,4856,2529,2105,4634,69,84,153,4787
6,5,AMASYA,TR8,Bati Karadeniz,TR83,0,15,201,216,0,63,63,279,13,205,218,1,50,51,269,11,190,201,1,62,63,264,10,171,181,1,50,51,232,9,167,176,1,43,44,220,10,136,146,1,38,39,185,8,85,93,1,40,41,134,6,87,93,0,19,19,112,7,82,89,0,19,19,108,11,63,74,0,13,13,87,458,655,1113,28,96,124,1237,465,663,1128,21,90,111,1239,474,651,1125,18,77,95,1220,442,650,1092,23,95,118,1210,512,655,1167,25,71,96,1263,526,670,1196,7,40,47,1243,578,702,1280,17,50,67,1347,614,727,1341,31,63,94,1435,623,741,1364,46,66,112,1476,634,771,1405,73,39,112,1517,712,835,1547,40,74,114,1661,724,834,1558,44,70,114,1672,729,783,1512,46,82,128,1640,675,785,1460,45,90,135,1595,745,811,1556,48,91,139,1695,743,804,1547,27,47,74,1621,745,762,1507,29,69,98,1605,724,723,1447,55,56,111,1558,684,684,1368,68,54,122,1490,712,615,1327,59,50,109,1436,870,715,1585,94,122,216,1801,884,720,1604,77,111,188,1792,882,684,1566,79,131,210,1776,889,688,1577,85,139,224,1801,907,695,1602,66,78,144,1746,898,701,1599,60,56,116,1715,926,595,1521,77,47,124,1645,965,600,1565,22,21,43,1608,945,544,1489,22,17,39,1528,928,523,1451,13,9,22,1473,2055,2406,4461,162,355,517,4978,2086,2422,4508,143,321,464,4972,2096,2308,4404,144,352,496,4900,2016,2294,4310,154,374,528,4838,2173,2328,4501,140,283,423,4924,2177,2311,4488,95,181,276,4764,2257,2144,4401,124,206,330,4731,2309,2137,4446,108,159,267,4713,2259,2051,4310,136,156,292,4602,2285,1972,4257,145,111,256,4513
7,6,ANKARA,TR5,Bati Anadolu,TR51,1,70,2721,2791,65,2341,2406,5197,57,2090,2147,81,1692,1773,3920,54,2339,2393,74,1906,1980,4373,44,2118,2162,61,1776,1837,3999,40,1774,1814,45,1808,1853,3667,44,1517,1561,40,1785,1825,3386,22,1024,1046,25,1640,1665,2711,23,1166,1189,116,1846,1962,3151,16,825,841,48,1797,1845,2686,34,778,812,54,2265,2319,3131,3280,12045,15325,622,3825,4447,19772,3266,11787,15053,627,3621,4248,19301,3337,11715,15052,642,3716,4358,19410,3533,11805,15338,547,3518,4065,19403,3628,11783,15411,501,3211,3712,19123,3646,11710,15356,441,2551,2992,18348,3970,11746,15716,573,2768,3341,19057,4013,11591,15604,511,2225,2736,18340,4115,12267,16382,497,2107,2604,18986,4307,11577,15884,396,1844,2240,18124,5175,13625,18800,1193,3681,4874,23674,5013,13379,18392,1251,3630,4881,23273,5067,13318,18385,1381,3966,5347,23732,5095,13208,18303,1197,3556,4753,23056,4977,12944,17921,1115,3200,4315,22236,4877,12412,17289,892,2539,3431,20720,5152,11959,17111,1247,2513,3760,20871,4992,11419,16411,843,2015,2858,19269,4824,10522,15346,705,1781,2486,17832,4348,9453,13801,647,1580,2227,16028,7808,13482,21290,2926,5347,8273,29563,7585,13154,20739,3043,5283,8326,29065,7545,12819,20364,3292,5747,9039,29403,7623,12845,20468,3262,5769,9031,29499,7533,12569,20102,3026,4951,7977,28079,7529,12289,19818,2572,4039,6611,26429,7851,11966,19817,3180,3965,7145,26962,7853,11744,19597,1725,2064,3789,23386,7610,10979,18589,1361,2089,3450,22039,7251,10330,17581,1118,1446,2564,20145,16333,41873,58206,4806,15194,20000,78206,15921,40410,56331,5002,14226,19228,75559,16003,40191,56194,5389,15335,20724,76918,16295,39976,56271,5067,14619,19686,75957,16178,39070,55248,4687,13170,17857,73105,16096,37928,54024,3945,10914,14859,68883,16995,36695,53690,5025,10886,15911,69601,16881,35920,52801,3195,8150,11345,64146,16565,34593,51158,2611,7774,10385,61543,15940,32138,48078,2215,7135,9350,57428
8,7,ANTALYA,TR6,Akdeniz,TR61,1,65,1479,1544,21,1383,1404,2948,65,1152,1217,20,1232,1252,2469,68,1276,1344,24,1357,1381,2725,54,1169,1223,15,1218,1233,2456,40,1014,1054,7,1133,1140,2194,41,836,877,2,959,961,1838,35,600,635,3,913,916,1551,30,421,451,19,895,914,1365,29,299,328,24,822,846,1174,45,299,344,20,782,802,1146,2626,5026,7652,272,1303,1575,9227,2654,4936,7590,296,1182,1478,9068,2643,4854,7497,302,1173,1475,8972,2455,4805,7260,274,1091,1365,8625,2692,4754,7446,226,1015,1241,8687,2763,4662,7425,148,756,904,8329,3006,4706,7712,273,843,1116,8828,3007,4699,7706,234,800,1034,8740,2926,4476,7402,217,580,797,8199,2739,4035,6774,261,653,914,7688,3911,5298,9209,564,1176,1740,10949,3933,5227,9160,573,1234,1807,10967,3869,5127,8996,656,1385,2041,11037,3671,4999,8670,577,1301,1878,10548,3610,4825,8435,554,1236,1790,10225,3574,4701,8275,351,776,1127,9402,3599,4442,8041,474,748,1222,9263,3339,3981,7320,331,523,854,8174,3269,3902,7171,330,473,803,7974,3307,3983,7290,274,420,694,7984,4626,4689,9315,990,1465,2455,11770,4500,4545,9045,1195,1622,2817,11862,4324,4315,8639,1252,1671,2923,11562,4305,4212,8517,1191,1556,2747,11264,4173,4063,8236,1071,1412,2483,10719,4026,3860,7886,934,1080,2014,9900,3982,3529,7511,1182,1181,2363,9874,3852,3364,7216,546,579,1125,8341,3680,3128,6808,543,561,1104,7912,3513,2945,6458,418,384,802,7260,11228,16492,27720,1847,5327,7174,34894,11152,15860,27012,2084,5270,7354,34366,10904,15572,26476,2234,5586,7820,34296,10485,15185,25670,2057,5166,7223,32893,10515,14656,25171,1858,4796,6654,31825,10404,14059,24463,1435,3571,5006,29469,10622,13277,23899,1932,3685,5617,29516,10228,12465,22693,1130,2797,3927,26620,9904,11805,21709,1114,2436,3550,25259,9604,11262,20866,973,2239,3212,24078
9,75,ARDAHAN,TRA,Kuzeydogu Anadolu,TRA2,0,6,42,48,0,8,8,56,4,36,40,0,3,3,43,4,33,37,0,6,6,43,3,24,27,0,5,5,32,2,25,27,0,4,4,31,2,27,29,0,5,5,34,3,23,26,0,4,4,30,3,19,22,0,4,4,26,3,21,24,1,4,5,29,3,18,21,1,4,5,26,148,272,420,0,0,0,420,148,262,410,0,0,0,410,158,277,435,0,0,0,435,151,257,408,0,0,0,408,139,214,353,0,0,0,353,160,238,398,0,0,0,398,170,229,399,2,6,8,407,194,265,459,3,8,11,470,177,222,399,2,5,7,406,165,258,423,0,0,0,423,238,330,568,0,0,0,568,217,332,549,0,0,0,549,218,352,570,0,0,0,570,212,351,563,0,0,0,563,187,300,487,0,0,0,487,193,258,451,0,0,0,451,262,293,555,6,1,7,562,274,289,563,0,0,0,563,251,259,510,1,4,5,515,275,284,559,0,0,0,559,236,318,554,0,0,0,554,206,249,455,0,0,0,455,240,257,497,0,0,0,497,229,251,480,0,0,0,480,230,225,455,0,0,0,455,218,217,435,0,0,0,435,257,274,531,0,0,0,531,254,276,530,0,0,0,530,212,240,452,0,0,0,452,181,212,393,0,0,0,393,628,962,1590,0,8,8,1598,575,879,1454,0,3,3,1457,620,919,1539,0,6,6,1545,595,883,1478,0,5,5,1483,558,764,1322,0,4,4,1326,573,740,1313,0,5,5,1318,692,819,1511,8,11,19,1530,725,849,1574,3,12,15,1589,643,742,1385,4,13,17,1402,624,772,1396,1,4,5,1401
10,8,ARTVIN,TR9,Dogu Karadeniz,TR90,0,8,123,131,0,25,25,156,7,113,120,0,18,18,138,6,115,121,0,16,16,137,5,98,103,0,13,13,116,5,65,70,0,14,14,84,5,61,66,0,9,9,75,4,52,56,0,7,7,63,3,50,53,0,6,6,59,3,41,44,0,5,5,49,4,50,54,0,9,9,63,225,296,521,0,0,0,521,238,292,530,0,0,0,530,247,281,528,0,0,0,528,255,290,545,0,0,0,545,265,267,532,0,0,0,532,281,269,550,0,0,0,550,298,281,579,4,8,12,591,296,291,587,9,6,15,602,266,304,570,12,10,22,592,269,313,582,5,6,11,593,286,425,711,0,0,0,711,303,451,754,0,0,0,754,301,434,735,0,0,0,735,302,427,729,0,0,0,729,260,359,619,0,0,0,619,267,395,662,0,0,0,662,294,390,684,8,9,17,701,341,418,759,5,1,6,765,367,370,737,10,7,17,754,414,387,801,4,4,8,809,407,382,789,9,9,18,807,437,399,836,9,11,20,856,415,395,810,9,10,19,829,427,394,821,23,19,42,863,400,374,774,13,12,25,799,430,393,823,17,10,27,850,434,410,844,24,12,36,880,453,424,877,0,0,0,877,442,394,836,0,0,0,836,420,365,785,0,0,0,785,926,1226,2152,9,34,43,2195,985,1255,2240,9,29,38,2278,969,1225,2194,9,26,35,2229,989,1209,2198,23,32,55,2253,930,1065,1995,13,26,39,2034,983,1118,2101,17,19,36,2137,1030,1133,2163,36,36,72,2235,1093,1183,2276,14,13,27,2303,1078,1109,2187,22,22,44,2231,1107,1115,2222,9,19,28,2250
