gadm_L3number,plate_number,province_upper,NUTS_level1,NUTS_level1_name,NUTS_level2,metropolitan,num_stateuni_2023,num_foundationuni_2023,num_foundationvocshool_2023,num_totaluni_2023,first_uni_established,daytime_assoc_stu_m_22_23,daytime_assoc_stu_f_22_23,daytime_assoc_stu_total_22_23,daytime_bach_stu_m_22_23,daytime_bach_stu_f_22_23,daytime_bach_stu_total_22_23,daytime_master_stu_m_22_23,daytime_master_stu_f_22_23,daytime_master_stu_total_22_23,daytime_doc_stu_m_22_23,daytime_doc_stu_f_22_23,daytime_doc_stu_total_22_23,daytime_stu_m_22_23,daytime_stu_f_22_23,daytime_stu_total_22_23,evening_assoc_stu_m_22_23,evening_assoc_stu_f_22_23,evening_assoc_stu_total_22_23,evening_bach_stu_m_22_23,evening_bach_stu_f_22_23,evening_bach_stu_total_22_23,evening_master_stu_m_22_23,evening_master_stu_f_22_23,evening_master_stu_total_22_23,evening_doc_stu_m_22_23,evening_doc_stu_f_22_23,evening_doc_stu_total_22_23,evening_stu_m_22_23,evening_stu_f_22_23,evening_stu_total_22_23,open_assoc_stu_m_22_23,open_assoc_stu_f_22_23,open_assoc_stu_total_22_23,open_bach_stu_m_22_23,open_bach_stu_f_22_23,open_bach_stu_total_22_23,open_master_stu_m_22_23,open_master_stu_f_22_23,open_master_stu_total_22_23,open_doc_stu_m_22_23,open_doc_stu_f_22_23,open_doc_stu_total_22_23,open_stu_m_22_23,open_stu_f_22_23,open_stu_total_22_23,distance_assoc_stu_m_22_23,distance_assoc_stu_f_22_23,distance_assoc_stu_total_22_23,distance_bach_stu_m_22_23,distance_bach_stu_f_22_23,distance_bach_stu_total_22_23,distance_master_stu_m_22_23,distance_master_stu_f_22_23,distance_master_stu_total_22_23,distance_doc_stu_m_22_23,distance_doc_stu_f_22_23,distance_doc_stu_total_22_23,distance_stu_m_22_23,distance_stu_f_22_23,distance_stu_total_22_23,total_assoc_stu_m_22_23,total_assoc_stu_f_22_23,total_assoc_stu_total_22_23,total_bach_stu_m_22_23,total_bach_stu_f_22_23,total_bach_stu_total_22_23,total_master_stu_m_22_23,total_master_stu_f_22_23,total_master_stu_total_22_23,total_doc_stu_m_22_23,total_doc_stu_f_22_23,total_doc_stu_total_22_23,total_stu_m_22_23,total_stu_f_22_23,total_stu_total_22_23,lec_num_prof_m_22_23,lec_num_prof_f_22_23,lec_num_prof_total_22_23,lec_num_assocprof_m_22_23,lec_num_assocprof_f_22_23,lec_num_assocprof_total_22_23,lec_num_assistprof_m_22_23,lec_num_assistprof_f_22_23,lec_num_assistprof_total_22_23,lec_num_lecturer_m_22_23,lec_num_lecturer_f_22_23,lec_num_lecturer_total_22_23,lec_num_researchassist_m_22_23,lec_num_researchassist_f_22_23,lec_num_researchassist_total_22_23,lec_num_all_m_22_23,lec_num_all_f_22_23,lec_num_all_total_22_23
1,1,ADANA,TR6,Akdeniz,TR62,1,2,0,0,2,30.11.1973,5725,3599,9324,15057,13827,28884,1813,1659,3472,900,913,1813,23495,19998,43493,1581,1052,2633,2627,1137,3764,581,352,933,0,0,0,4789,2541,7330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,403,927,0,0,0,159,113,272,0,0,0,683,516,1199,7830,5054,12884,17684,14964,32648,2553,2124,4677,900,913,1813,28967,23055,52022,355,224,579,157,118,275,215,191,406,231,288,519,404,410,814,1362,1231,2593
2,2,ADIYAMAN,TRC,Güneydogu Anadolu,TRC1,0,1,0,0,1,17.03.2006,4075,2281,6356,4304,5149,9453,271,234,505,34,24,58,8684,7688,16372,0,0,0,67,96,163,30,10,40,0,0,0,97,106,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4075,2281,6356,4371,5245,9616,301,244,545,34,24,58,8781,7794,16575,78,13,91,123,37,160,174,88,262,108,58,166,135,111,246,618,307,925
3,3,AFYONKARAHISAR,TR3,Ege,TR33,0,2,0,0,2,11.07.1992,5305,4711,10016,8208,9781,17989,1350,1285,2635,281,192,473,15144,15969,31113,1256,1174,2430,1886,2050,3936,378,274,652,0,0,0,3520,3498,7018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,130,617,0,0,0,101,77,178,0,0,0,588,207,795,7048,6015,13063,10094,11831,21925,1829,1636,3465,281,192,473,19252,19674,38926,172,48,220,141,62,203,261,182,443,226,151,377,200,204,404,1000,647,1647
4,4,AGRI,TRA,Kuzeydogu Anadolu,TRA2,0,1,0,0,1,29.05.2007,2156,1779,3935,3139,4062,7201,632,423,1055,45,18,63,5972,6282,12254,397,453,850,665,717,1382,62,23,85,0,0,0,1124,1193,2317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,32,99,0,0,0,67,32,99,2553,2232,4785,3804,4779,8583,761,478,1239,45,18,63,7163,7507,14670,34,3,37,65,22,87,123,68,191,101,46,147,58,41,99,381,180,561
5,68,AKSARAY,TR7,Orta Anadolu,TR71,0,1,0,0,1,17.03.2006,2567,2009,4576,4876,6023,10899,1255,983,2238,98,85,183,8796,9100,17896,57,28,85,801,560,1361,372,206,578,0,0,0,1230,794,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,22,63,0,0,0,41,22,63,2624,2037,4661,5677,6583,12260,1668,1211,2879,98,85,183,10067,9916,19983,101,28,129,120,48,168,146,104,250,106,89,195,90,86,176,563,355,918
6,5,AMASYA,TR8,Bati Karadeniz,TR83,0,1,0,0,1,17.03.2006,3877,2997,6874,2135,3509,5644,627,558,1185,23,28,51,6662,7092,13754,667,534,1201,364,490,854,40,35,75,0,0,0,1071,1059,2130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,862,1470,210,388,598,121,54,175,0,0,0,939,1304,2243,5152,4393,9545,2709,4387,7096,788,647,1435,23,28,51,8672,9455,18127,39,24,63,62,32,94,150,120,270,106,78,184,56,58,114,413,312,725
7,6,ANKARA,TR5,Bati Anadolu,TR51,1,8,14,0,22,13.06.1946,15114,15997,31111,111373,125908,237281,17212,19371,36583,11174,12284,23458,154873,173560,328433,948,284,1232,100,75,175,2952,2401,5353,0,0,0,4000,2760,6760,2052,1949,4001,3461,2174,5635,0,0,0,0,0,0,5513,4123,9636,2253,2108,4361,1834,2408,4242,941,675,1616,0,0,0,5028,5191,10219,20367,20338,40705,116768,130565,247333,21105,22447,43552,11174,12284,23458,169414,185634,355048,3076,2263,5339,1115,1121,2236,1656,2080,3736,1472,2733,4205,2469,3425,5894,9788,11622,21410
8,7,ANTALYA,TR6,Akdeniz,TR61,1,2,3,0,5,20.07.1982,12911,8918,21829,24669,22308,46977,2364,2836,5200,777,903,1680,40721,34965,75686,5080,2642,7722,3226,1849,5075,85,49,134,0,0,0,8391,4540,12931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,75,185,0,0,0,126,52,178,0,0,0,236,127,363,18101,11635,29736,27895,24157,52052,2575,2937,5512,777,903,1680,49348,39632,88980,467,222,689,243,188,431,378,394,772,464,494,958,447,507,954,1999,1805,3804
9,75,ARDAHAN,TRA,Kuzeydogu Anadolu,TRA2,0,1,0,0,1,22.05.2008,1157,1264,2421,1395,1429,2824,286,197,483,12,20,32,2850,2910,5760,8,0,8,190,83,273,0,0,0,0,0,0,198,83,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,1264,2429,1585,1512,3097,286,197,483,12,20,32,3048,2993,6041,15,2,17,22,7,29,81,46,127,83,44,127,38,36,74,239,135,374
10,8,ARTVIN,TR9,Dogu Karadeniz,TR90,0,1,0,0,1,29.05.2007,2649,2862,5511,1838,2755,4593,294,268,562,21,22,43,4802,5907,10709,435,498,933,114,145,259,38,14,52,0,0,0,587,657,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3084,3360,6444,1952,2900,4852,332,282,614,21,22,43,5389,6564,11953,23,1,24,43,27,70,119,64,183,118,76,194,43,51,94,346,219,565
